name	writer
異世界帰りのパラディンは、最強の除霊師となる	Ｙ．Ａ
異世界魔法は遅れてる！	鼻から牛肉／樋辻臥命
地球さんはレベルアップしました！	生咲日月
平穏に生きたい【ステータスオール１】は今日も今日とて世界を救う。	鍋敷
#壊れた地球の歩き方 【コミカライズ連載開始＆書籍二巻発売中！】	ヤマモトユウスケ@#壊れた地球の歩き方 発売中！
魔力即時回復スキルで現代ダンジョン無双　〜規格外のスキルで爆速レベルアップ→超一流探索者も引くほど最強に〜	可換　環
音使いは死と踊る	弁当箱
地獄の沙汰も黄金次第　～会社をクビになったけど、錬金術とかいうチートスキルを手に入れたので人生一発逆転を目指します～	出雲大吉
 凡人探索者のたのしい現代ダンジョンライフ　【書籍化決定　2023年】	しば犬部隊
【超短編】逆行する令嬢の真相	越智屋ノマ 
短編【王妃になった姉妹の結末】廃妃は二度目の恋を知る	越智屋ノマ 
トロッコ問題とその最適解	間野ハルヒコ
婚約破棄による経済効果	yuyu
塔の陰	礎衣 織姫
余命3000文字	村崎羯諦
『妖精騎士の物語 』　少女は世界を変える	ペルスネージュ
悪魔の花嫁【連載式コミカライズ配信中】	村岡みのり
娘の誕生日会に誰も来なかった	たらこくちびる毛
婚約破棄交渉九十九回目、のちに……。	あいより碧
余命30000文字	つこさん。
引っ越してきた隣人が庭に竹を植え始めた	たらこくちびる毛
竜と妻	とびらの
【１】宮廷書記官リットの優雅な生活	鷹野　進
太宰治、異世界転生して勇者になる　～チートの多い生涯を送って来ました～	高橋弘
主人公だけが忘れる死に戻り	天帷 碧緒
イカロスの恋	そら
今日も電波塔で龍が死んでいる	ふとんねこ
夫が仕事から帰って「夕食は？」と聞くと妻は「カップ麺よ」と言い放つ	エタメタノール
妻に媚薬を盛ってみた	鈴本耕太郎
婚約破棄の現場で～王子様の本音～	Ash
彼にとって、愛とはそういうものだった	ほねのあるくらげ
あと５分で世界が滅びると言われたので、私はカップラーメンを食べることにした	鞠目
異世界で魔王を倒してきた元勇者ですが、こちらに戻ってきても就職口がありませんでした。	(=｀ω´=)
下っ端妃は逃げ出したい	都茉莉
オーバーエイジ38　～ベテラン・サッカー選手は老いることを知らない～	高坂岬
黒髪少女と真夜中の神社でビスケットを食べる	優木凛々
君を守るため、僕は何度でも死に戻る	羽田遼亮
人類を滅ぼすシミュレーションゲーム	えるえる
心を読む聖女	水紅
太宰治、異世界転生して勇者になる　～チートの多い生涯を送って来ました～【連載版】	高橋弘
ギルドカードの遺言	えるえる
世界一簡単な合法殺人	下城米雪＠ワンオペ解雇コミカライズ連載中
私が犯した罪について	たなか
食べログ1.8のラーメン屋	村崎羯諦
ネコチャンと天国で会う時の注意点	ヒロモト
１０年不倫	青井青
バカだけを殺すウイルス	えるえる
徒然ww	京野うん子
愚者の独白	高槻いつ
転性のノスタルジア	都森メメ
先月お父さんが誘拐されたけど、身代金はまだ支払ってません	村崎羯諦
【２】宮廷書記官リットの有閑な日常	鷹野　進
耳の聞こえない風俗嬢	青井青
わたしが勇者の残機ドナーに登録した理由	志雄崎あおい
共鳴する	はなぶさ
王子と王女の婚約締結	ほねのあるくらげ
もう、いらない	三香
隣の芝生は枯れていた	あなぐらグラム
親子鑑定	青井青
目的は生き延びること	大菊小菊
男なら一国一城の主を目指さなきゃね	三度笠
え、社内システム全てワンオペしている私を解雇ですか？【書籍化・コミカライズ】	下城米雪＠ワンオペ解雇コミカライズ連載中
百花宮のお掃除係～転生した新米宮女、後宮のお悩み解決します。	黒辺あゆみ
今更自由といわれても	西木田
【12月15日書籍発売】公爵夫人の秘密の日記――白い結婚を申し入れたら、渡りに船と言われました。	横浜 山笑（旧山笑）
がんばって最高の遺書を書いたら、なぜか &quot;ざまあ&quot; することになりました	優木凛々
周囲が羨む「ツンデレ幼馴染」を捨てるのは間違っているのか	まきぶろ
大陸英雄戦記	悪一
【短編版】婚約破棄を宣言した王子と、悪役令嬢は階段から落ちた·····そして2人は叫んだ「私達、入れ替わっている！？」と	夕景あき
冤罪令嬢の肖像画～とある画家が人生最高の肖像画を描いた話～	優木凛々
素人おっさん、転生サッカーライフを満喫する	ハーーナ殿下
最凶侯爵の逆鱗に触れた者達の末路	やとぎ
美人な妹と、私	ユウキ
婚約者が高貴なご令嬢と愛し合ってるようなので、私は身を引きます。…どうして困っているんですか？	越智屋ノマ 
夢から醒めて	あさな
逆行転生したおじさん、性別も逆転したけどバーチャルYouTuberの親分をめざす！	ブーブママ
メニューをどうぞ【WEB版】	雛／汐邑雛
期待されなかった僕たちは	瀬嵐しるん
後妻のお義母様とお義姉様が屋敷に来て、私は何故か幸せになりました。	浅村鈴
純粋な疑問の方が酷なこともある	海狸
悪役令嬢、庶民に堕ちる【web版】	緋月紫砲
別に要りませんけど？	ユウキ
男女比がぶっ壊れた世界の人と人生を交換しました	もぎ　すず
【web版】美少女にTS転生したから大女優を目指す！【書籍化】	武藤かんぬき
義妹の嫌がらせで、子持ち男性と結婚する羽目になりました。継母として、義理の娘に嫌われることも覚悟していましたが、そこでようやく本当の家族を手に入れることができました。	石河 翠
【書籍&amp;コミック発売中】余命六ヶ月延長してもらったから、ここからは私の時間です	編乃肌
やり直してもサッカー小僧	黒須　可雲太
おっさん、転生して天才役者になる	ほえ太郎
アラサーのオレは別世界線に逆行再生したらしい	翠川稜
気が付いたら競走馬に生まれ変わっていました。でも、競馬の知識は０なんです！	南辺万里
冷遇妻だけど、夫に愛されていたようです。知るか。	瀬尾優梨
そんな俺は、廃太子。《　転生王子の逃避、あるいは　安寧への力業　》	龍槍　＠　リハビリ中
異世界チート知識で領地経営しましょう	加藤　良介
ないがしろにされた令嬢は、不幸の元凶を排除することにした	優木凛々
晴れて国外追放にされたので魅了を解除してあげてから出て行きました	ラララオキ
エルフさんの魔法料理店	夜塊織夢 
鈍金色のリリーフエース〜常勝球団で酷使されていた俺は、弱小球団のホワイト環境で無双する〜	筆箱鉛筆
とある魔球のダウンザライン！	うるめいわし
聖女追放！………とは直接関係なかった子爵様	ハーピスト 
【書籍・漫画化しました！】異世界メイドの三ツ星グルメ ～現代ごはん作ったら王宮で大バズリしました～【旧題・美食おぼっちゃまの転生メイド】	モリタ
いつか貴女の手を引けるように。	黛ちまた
辺境伯子息の独白	里見しおん
おおそといっき！	うるめいわし
【短編】国王陛下は王子のフリを見て我がフリを反省した	宇水涼麻
婚約破棄は別に良いのですが、貴方が自慢げに見せているそれは国家機密ですわよ？	はぐれメタボ
アラサーがVTuberになった話。	とくめい
婚約者に裏切られた私は熊より強くなりました	秋雨ルウ（レビューしてた人）
真実の愛に婚約破棄を叫ぶ王太子より更に凄い事を言い出した真実の愛の相手	ラララオキ
初夜に「俺がお前を抱く事は無い！」と叫んだら長年の婚約者だった新妻に「気持ち悪い」と言われた上に父にも予想外の事を言われた男とその浮気女の話	ラララオキ
戦国小町苦労譚	夾竹桃
戦国時代に宇宙要塞でやって来ました。	横蛍
偽典・演義　～とある策士の三國志（仮）～	仏ょも
淡海乃海　水面が揺れる時	イスラーフィール
転生！　竹中半兵衛　マイナー武将に転生した仲間たちと戦国乱世を生き抜く	青山　有
羽林、乱世を翔る（異伝　淡海乃海 水面が揺れる時）	イスラーフィール
三日月が新たくなるまで俺の土地！～マイナー武将「新田政盛」に転生したので野望MAXで生きていきます～	篠崎冬馬
戦武成伝　－武田に転生したと思ったら想像してたのと違う甲斐武田から枝分かれした安芸武田のさらに枝分かれの若狭武田だったので、滅亡しないように武をもって成り上がります－	尾羽内 鴉
【書籍化】令和の化学者・鷹司耀子の帝都転生　～プラスチック素材で日本を救う～【旧題：鷹は瑞穂の空を飛ぶ】	雨堤俊次/コモンレール
本能寺から始める信長との天下統一  ©歴史知識は必要なし ９巻２月２５日発売 オーバーラップ文庫 電撃大王連載中  電撃コミックスNEXT ３巻10/27発売・１８１，０００，０００PV突破	常陸之介寛浩★ＯＶＬ５金賞受賞☆アルファ第4回歴史時代小説読者賞
銭（インチキ）の力で、戦国の世を駆け抜ける。（本編完結）（コミカライズ開始）	Ｙ．Ａ
ルイ16世に転生してしまった俺はフランス革命を全力で阻止してアントワネットと末永くお幸せに暮らしたい【WEB連載版】	スカーレッドG
【漫画単行本発売中】斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します！【本編完結】	巽未頼
織田家の長男に生まれました	いせひこ/大沼田伊勢彦
魯鈍の人（ロドンノヒト）  ～信長の弟、信秀の十男と言われて～	牛一（ドン）
加賀100万石に仕える事になった	シムCM
戦国生存記	現実逃避
陶都物語～赤き炎の中に～	まふまふ
【本編完結】小物武将、木村吉清　豊臣の天下で成り上がる！　(旧題)マイナー戦国武将に転生したのでのんびり生きようと思ったら、いきなり30万石の大名になってしまいました	田島はる
信長の庶子	壬生一郎
武田信虎　～暴君から名君へ～	なんじゃもんじゃ
冬嵐記	槐
戦国時代に転移したと思ったら俺だけRPGだった！	したらば
じゃない孔明転生記。軍師の師だといわれましても	二水うなむ
項羽と劉邦、あと田中	古寺谷 雉
未来から吹いた風　～５人でひっくりかえす太平洋戦争～	青雲あゆむ
痛快娯楽時代劇　小田氏治	藤永太郎
三田一族の意地を見よ	三田弾正
復興名家の仮名目録　～戦国転生異聞～　（旧名：殿と仮名目録の追加案件）	シムCM
風神天翔記　～とある修羅の転生事情～	仏ょも
海道一ノ弓取リ	葉室 貫之
討ち死になんて勘弁な	悠夜
貴族になったが、未来がヤバかった	やがみ
信長公弟記～織田さんちの八男です～【コミカライズ連載中】	彩戸ゆめ
天地海　～無名武将に転生したので天下は諦めて新潟港を発展させる～	今川幸乃
稲荷様は平穏に暮らしたい	茶トラの猫
北政所様の御化粧係〜戦国の世だって美容オタクは趣味に生きたいのです〜	笹倉のり
生まれ変わったら曹昂だった。　前世の知識を活かして宛城の戦いで戦死しないで天寿を全うします	 雪国竜
航空エンジニアのやり直し　～航空技術者は二度目に引き起こされた大戦から祖国を守り抜く～	御代出　実葉
董卓の娘	神奈いです
転生三法師の奮闘記  ～魔王の孫とよばれて〜	夜鷹
六芒星が頂に～星天に掲げよ！ 二つ剣ノ銀杏紋～	縞杜コウ(縞守皐駕)
