title	writer	genre	url
嘆きの亡霊は引退したい　〜最弱ハンターは英雄の夢を見る〜【Web版】	槻影	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6093EN
一瞬で治療していたのに、何もしてないとパーティを追放された天才治癒師～今さら戻ってこいと言われても、闇ヒーラーとして楽しくやっているので治療は高額になるけどおたくら払えますか？～	ひかさく＠菱川さかく	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N3352GQ
くまクマ熊ベアー	くまなの	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4185CI
【Web版】転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～	未来人A	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5619FV
魔王と勇者の戦いの裏で　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～	涼樹悠樹	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1219GV
転生したら剣でした	棚架ユウ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6006CW
異世界迷宮で奴隷ハーレムを	蘇我捨恥	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4259S
そのおっさん、異世界で二周目プレイを満喫中	月夜　涙（るい）	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2415EG
【書籍完結＆コミカライズ化】【本編・外伝完結済】剣聖の幼馴染がパワハラで俺につらく当たるので、絶縁して辺境で魔剣士として出直すことにした。（ＷＥＢ版）	シンギョウ　ガク	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2029GB
世界最速のレベルアップ　～無能スキル【ダンジョン内転移】が覚醒した結果、俺だけダンジョンのルールに縛られず最強になった～	八又ナガト	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3976GK
現実世界に現れたガチャに給料全部つぎ込んだら引くほど無双に	ARATA	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N9806FW
乙女ゲー世界はモブに厳しい世界です	三嶋　与夢	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3191EH
特級探索師への覚醒　～蜥蜴の尻尾切りに遭った青年は、地獄の王と成り無双する～	笠鳴小雨	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N8459GK
モンスターがあふれる世界になったので、好きに生きたいと思います	よっしゃあっ！	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N9418EG
Ｄジェネシス　ダンジョンができて３年（web版）	之 貫紀	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N7945FN
俺にはこの暗がりが心地よかった	星崎崑	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N7820GO
アラフォー賢者の異世界生活日記	寿　安清	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N8515DC
異世界食堂	犬塚惇平（犬派店主）	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N1701BM
社畜ですが、種族進化して最強へと至ります	力水	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3628GA
災悪のアヴァロン 【書籍2巻 1/19発売】	鳴沢明人	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3836GY
【書籍化】現代陰陽師は転生リードで無双する	爪隠し	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N5327HJ
百合ゲー世界に、百合の間に挟まる男として転生してしまいました	とまとすぱげてぃ	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N1375HG
冒険家になろう！　スキルボードでダンジョン攻略(WEB版)	萩鵜アキ	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N8618EF
【書籍化】転生陰陽師・賀茂一樹【＆コミカライズ決定】	赤野用介	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N5911HS
ダンジョンおじさん【Web版】	広路なゆる＠ダンジョンおじさん四巻執筆中	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N8352FY
モブ高生の俺でも冒険者になればリア充になれますか？	百均	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N0112FI
10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた	坂東太郎	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N7594CT
村づくりゲームのＮＰＣが生身の人間としか思えない	昼熊	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N1119FH
ログアウトしたのはＶＲＭＭＯじゃなく本物の異世界でした ～現実に戻ってもステータスが壊れている件～	とーわ	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N1720GR
ハズレスキル「逃げる」で俺は極限低レベルのまま最強を目指す　～経験値抑制＆レベル１でスキルポイントが死ぬほどインフレ、スキルが取り放題になった件～	天宮暁	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N7575GQ
宝くじで40億当たったんだけど異世界に移住する	すずの木くろ	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N2163N
神の庭付き楠木邸【４巻3/17発売】	えんじゅ	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3290GX
ネトオク男の楽しい異世界貿易紀行	星崎崑	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3102Y
転生したので、たった一人で地球と貿易してみる　～ゲーム好き魔術少女の冒険譚～	あかい	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N4595GP
極東救世主伝説～極東で生まれたやべーやつは如何にして救世主と呼ばれるようになったか～	仏ょも	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N4965HV
