name	season
ラディアン 第2シリーズ	2019年秋
異常生物見聞録	2020年夏
グランベルム	2019年夏
ソウナンですか？	2019年夏
グレイプニル	2020年春
継つぐもも	2020年春
継つぐもも	2020年春
PSYCHO-PASS サイコパス 3	2019年秋
叛逆性ミリオンアーサー 第2シーズン	2019年春
本好きの下剋上 司書になるためには手段を選んでいられません	2019年秋
GRANBLUE FANTASY The Animation Season2	2019年秋
アニマルズ：シーズン2	2017年冬
アニマルズ：シーズン1	2016年冬
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。	2019年夏
可愛ければ変態でも好きになってくれますか？	2019年夏
洗い屋さん！～俺とアイツが女湯で！？～	2019年春
爆丸バトルプラネット	2019年春
恋する小惑星	2020年冬
進撃の巨人 Season 3 Part.2	2019年春
BEASTARS	2019年秋
BEM	2019年夏
